fecha,restaurante_id,nombre_restaurante,tipo_cocina,direccion,precio_menu,dia_semana,dia_semana_num,temporada,primer_plato,segundo_plato,postre,temperatura,lluvia,es_festivo,menus_vendidos,ingresos,valoracion_media
2025-09-01,1,Casa Hortensia,Tradicional Española,"Calle Orense 32, Madrid",12.5,Lunes,0,otoño,Sopa castellana,Pollo asado con patatas,Arroz con leche,26.0,False,False,40,500.0,3.4
2025-09-01,2,El Rincón de Azca,Mediterránea,"Paseo de la Castellana 89, Madrid",13.0,Lunes,0,otoño,Ensalada templada de setas,Dorada al horno,Arroz con leche,26.0,False,False,50,650.0,3.0
2025-09-01,3,La Taberna del Volapié,Tradicional Española,"Calle Rosario Pino 12, Madrid",11.5,Lunes,0,otoño,Sopa castellana,Pollo asado con patatas,Arroz con leche,26.0,False,False,27,310.5,2.7
2025-09-01,4,Trattoria Azca,Italiana,"Calle Capitán Haya 19, Madrid",14.0,Lunes,0,otoño,Minestrone,Pasta carbonara,Arroz con leche,26.0,False,False,34,476.0,4.0
2025-09-01,5,Wok Garden,Asiática,"Calle Orense 16, Madrid",11.0,Lunes,0,otoño,Sopa de miso,Pollo teriyaki,Arroz con leche,26.0,False,False,42,462.0,3.5
2025-09-01,6,La Albufera,Arrocería,"Calle Pedro Teixeira 8, Madrid",14.5,Lunes,0,otoño,Ensalada valenciana,Arroz con pollo,Arroz con leche,26.0,False,False,29,420.5,4.2
2025-09-01,7,El Asador de Azca,Asador,"Paseo de la Castellana 93, Madrid",15.0,Lunes,0,otoño,Sopa castellana de setas,Chuletón de ternera,Arroz con leche,26.0,False,False,27,405.0,3.2
2025-09-01,8,Verde & Más,Vegetariana,"Calle Sor Ángela de la Cruz 4, Madrid",12.0,Lunes,0,otoño,Crema de calabaza y curry,Curry de garbanzos,Arroz con leche,26.0,False,False,22,264.0,3.8
2025-09-01,9,Marisquería Nautilus,Marisquería,"Calle Orense 68, Madrid",16.0,Lunes,0,otoño,Salpicón de marisco,Merluza a la vasca,Arroz con leche,26.0,False,False,29,464.0,3.4
2025-09-01,10,Taquería La Lupe,Mexicana,"Calle Capitán Haya 1, Madrid",11.0,Lunes,0,otoño,Sopa azteca,Tacos al pastor,Arroz con leche,26.0,False,False,45,495.0,4.3
2025-09-02,1,Casa Hortensia,Tradicional Española,"Calle Orense 32, Madrid",12.5,Martes,1,otoño,Lentejas estofadas,Merluza en salsa verde,Flan casero,28.8,False,False,51,637.5,4.8
2025-09-02,2,El Rincón de Azca,Mediterránea,"Paseo de la Castellana 89, Madrid",13.0,Martes,1,otoño,Crema de puerros,Pollo al romero,Flan casero,28.8,False,False,33,429.0,3.1
2025-09-02,3,La Taberna del Volapié,Tradicional Española,"Calle Rosario Pino 12, Madrid",11.5,Martes,1,otoño,Lentejas estofadas,Merluza en salsa verde,Flan casero,28.8,False,False,35,402.5,3.6
2025-09-02,4,Trattoria Azca,Italiana,"Calle Capitán Haya 19, Madrid",14.0,Martes,1,otoño,Bruschetta de tomate,Lasaña boloñesa,Flan casero,28.8,False,False,32,448.0,4.6
2025-09-02,5,Wok Garden,Asiática,"Calle Orense 16, Madrid",11.0,Martes,1,otoño,Rollitos de primavera,Pad thai,Flan casero,28.8,False,False,55,605.0,3.0
2025-09-02,6,La Albufera,Arrocería,"Calle Pedro Teixeira 8, Madrid",14.5,Martes,1,otoño,Croquetas de jamón,Paella de marisco,Flan casero,28.8,False,False,29,420.5,3.7
2025-09-02,7,El Asador de Azca,Asador,"Paseo de la Castellana 93, Madrid",15.0,Martes,1,otoño,Morcilla de Burgos,Cochinillo asado,Flan casero,28.8,False,False,35,525.0,4.0
2025-09-02,8,Verde & Más,Vegetariana,"Calle Sor Ángela de la Cruz 4, Madrid",12.0,Martes,1,otoño,Ensalada de quinoa,Lasaña de verduras,Flan casero,28.8,False,False,28,336.0,4.1
2025-09-02,9,Marisquería Nautilus,Marisquería,"Calle Orense 68, Madrid",16.0,Martes,1,otoño,Gambas al ajillo,Paella de marisco,Flan casero,28.8,False,False,39,624.0,4.2
2025-09-02,10,Taquería La Lupe,Mexicana,"Calle Capitán Haya 1, Madrid",11.0,Martes,1,otoño,Nachos con guacamole,Enchiladas rojas,Flan casero,28.8,False,False,41,451.0,3.1
2025-09-03,1,Casa Hortensia,Tradicional Española,"Calle Orense 32, Madrid",12.5,Miércoles,2,otoño,Crema de calabaza,Albóndigas en salsa,Tarta de manzana,24.3,False,False,43,537.5,4.3
2025-09-03,2,El Rincón de Azca,Mediterránea,"Paseo de la Castellana 89, Madrid",13.0,Miércoles,2,otoño,Hummus con crudités,Brochetas de ternera,Tarta de manzana,24.3,False,False,46,598.0,3.4
2025-09-03,3,La Taberna del Volapié,Tradicional Española,"Calle Rosario Pino 12, Madrid",11.5,Miércoles,2,otoño,Crema de calabaza,Albóndigas en salsa,Tarta de manzana,24.3,False,False,29,333.5,4.6
2025-09-03,4,Trattoria Azca,Italiana,"Calle Capitán Haya 19, Madrid",14.0,Miércoles,2,otoño,Ensalada caprese,Scaloppine al limón,Tarta de manzana,24.3,False,False,49,686.0,4.9
2025-09-03,5,Wok Garden,Asiática,"Calle Orense 16, Madrid",11.0,Miércoles,2,otoño,Gyozas de cerdo,Cerdo agridulce,Tarta de manzana,24.3,False,False,63,693.0,3.4
2025-09-03,6,La Albufera,Arrocería,"Calle Pedro Teixeira 8, Madrid",14.5,Miércoles,2,otoño,Mejillones al vapor,Arroz al horno,Tarta de manzana,24.3,False,False,28,406.0,3.7
2025-09-03,7,El Asador de Azca,Asador,"Paseo de la Castellana 93, Madrid",15.0,Miércoles,2,otoño,Pimientos asados,Costillas de cerdo,Tarta de manzana,24.3,False,False,34,510.0,3.6
2025-09-03,8,Verde & Más,Vegetariana,"Calle Sor Ángela de la Cruz 4, Madrid",12.0,Miércoles,2,otoño,Hummus casero,Hamburguesa vegana,Tarta de manzana,24.3,False,False,25,300.0,3.6
2025-09-03,9,Marisquería Nautilus,Marisquería,"Calle Orense 68, Madrid",16.0,Miércoles,2,otoño,Mejillones a la marinera,Lubina a la espalda,Tarta de manzana,24.3,False,False,45,720.0,4.8
2025-09-03,10,Taquería La Lupe,Mexicana,"Calle Capitán Haya 1, Madrid",11.0,Miércoles,2,otoño,Elote asado,Burrito de pollo,Tarta de manzana,24.3,False,False,35,385.0,3.5
2025-09-04,1,Casa Hortensia,Tradicional Española,"Calle Orense 32, Madrid",12.5,Jueves,3,otoño,Judías con chorizo,Lomo a la plancha,Natillas,22.3,False,False,34,425.0,3.4
2025-09-04,2,El Rincón de Azca,Mediterránea,"Paseo de la Castellana 89, Madrid",13.0,Jueves,3,otoño,Tabulé,Salmón con verduras,Natillas,22.3,False,False,39,507.0,3.5
2025-09-04,3,La Taberna del Volapié,Tradicional Española,"Calle Rosario Pino 12, Madrid",11.5,Jueves,3,otoño,Judías con chorizo,Lomo a la plancha,Natillas,22.3,False,False,35,402.5,4.4
2025-09-04,4,Trattoria Azca,Italiana,"Calle Capitán Haya 19, Madrid",14.0,Jueves,3,otoño,Crema de calabacín,Pizza margarita,Natillas,22.3,False,False,38,532.0,4.5
2025-09-04,5,Wok Garden,Asiática,"Calle Orense 16, Madrid",11.0,Jueves,3,otoño,Ensalada de wakame,Curry rojo de pollo,Natillas,22.3,False,False,40,440.0,3.6
2025-09-04,6,La Albufera,Arrocería,"Calle Pedro Teixeira 8, Madrid",14.5,Jueves,3,otoño,Pimientos del piquillo rellenos,Arroz negro,Natillas,22.3,False,False,26,377.0,3.6
2025-09-04,7,El Asador de Azca,Asador,"Paseo de la Castellana 93, Madrid",15.0,Jueves,3,otoño,Ensalada templada,Entrecot a la brasa,Natillas,22.3,False,False,38,570.0,3.2
2025-09-04,8,Verde & Más,Vegetariana,"Calle Sor Ángela de la Cruz 4, Madrid",12.0,Jueves,3,otoño,Sopa de lentejas rojas,Tofu salteado,Natillas,22.3,False,False,30,360.0,3.2
2025-09-04,9,Marisquería Nautilus,Marisquería,"Calle Orense 68, Madrid",16.0,Jueves,3,otoño,Ensalada de mariscos,Gambas a la plancha,Natillas,22.3,False,False,28,448.0,4.6
2025-09-04,10,Taquería La Lupe,Mexicana,"Calle Capitán Haya 1, Madrid",11.0,Jueves,3,otoño,Quesadillas de queso,Fajitas de ternera,Natillas,22.3,False,False,55,605.0,4.1
2025-09-05,1,Casa Hortensia,Tradicional Española,"Calle Orense 32, Madrid",12.5,Viernes,4,otoño,Puchero madrileño,Callos a la madrileña,Coulant de chocolate,25.0,False,False,31,387.5,4.4
