menu_id,restaurante_id,fecha,dia_semana,dia_semana_num,temporada,primer_plato,primer_plato_id,segundo_plato,segundo_plato_id,postre,postre_id,bebida_incluida,precio
1,1,2025-09-01,Lunes,0,otoño,Sopa castellana,1,Pollo asado con patatas,6,Arroz con leche,11,True,12.5
2,1,2025-09-02,Martes,1,otoño,Lentejas estofadas,2,Merluza en salsa verde,7,Flan casero,12,True,12.5
3,1,2025-09-03,Miércoles,2,otoño,Crema de calabaza,3,Albóndigas en salsa,8,Tarta de manzana,13,True,12.5
4,1,2025-09-04,Jueves,3,otoño,Judías con chorizo,4,Lomo a la plancha,9,Natillas,14,True,12.5
5,1,2025-09-05,Viernes,4,otoño,Puchero madrileño,5,Callos a la madrileña,10,Coulant de chocolate,15,True,12.5
6,1,2025-09-08,Lunes,0,otoño,Sopa castellana,1,Pollo asado con patatas,6,Arroz con leche,11,True,12.5
7,1,2025-09-09,Martes,1,otoño,Lentejas estofadas,2,Merluza en salsa verde,7,Flan casero,12,True,12.5
8,1,2025-09-10,Miércoles,2,otoño,Crema de calabaza,3,Albóndigas en salsa,8,Tarta de manzana,13,True,12.5
9,1,2025-09-11,Jueves,3,otoño,Judías con chorizo,4,Lomo a la plancha,9,Natillas,14,True,12.5
10,1,2025-09-12,Viernes,4,otoño,Puchero madrileño,5,Callos a la madrileña,10,Coulant de chocolate,15,True,12.5
11,1,2025-09-15,Lunes,0,otoño,Sopa castellana,1,Pollo asado con patatas,6,Arroz con leche,11,True,12.5
12,1,2025-09-16,Martes,1,otoño,Lentejas estofadas,2,Merluza en salsa verde,7,Flan casero,12,True,12.5
13,1,2025-09-17,Miércoles,2,otoño,Crema de calabaza,3,Albóndigas en salsa,8,Tarta de manzana,13,True,12.5
14,1,2025-09-18,Jueves,3,otoño,Judías con chorizo,4,Lomo a la plancha,9,Natillas,14,True,12.5
15,1,2025-09-19,Viernes,4,otoño,Puchero madrileño,5,Callos a la madrileña,10,Coulant de chocolate,15,True,12.5
16,1,2025-09-22,Lunes,0,otoño,Sopa castellana,1,Pollo asado con patatas,6,Arroz con leche,11,True,12.5
17,1,2025-09-23,Martes,1,otoño,Lentejas estofadas,2,Merluza en salsa verde,7,Flan casero,12,True,12.5
18,1,2025-09-24,Miércoles,2,otoño,Crema de calabaza,3,Albóndigas en salsa,8,Tarta de manzana,13,True,12.5
19,1,2025-09-25,Jueves,3,otoño,Judías con chorizo,4,Lomo a la plancha,9,Natillas,14,True,12.5
20,1,2025-09-26,Viernes,4,otoño,Puchero madrileño,5,Callos a la madrileña,10,Coulant de chocolate,15,True,12.5
21,1,2025-09-29,Lunes,0,otoño,Sopa castellana,1,Pollo asado con patatas,6,Arroz con leche,11,True,12.5
22,1,2025-09-30,Martes,1,otoño,Lentejas estofadas,2,Merluza en salsa verde,7,Flan casero,12,True,12.5
23,1,2025-10-01,Miércoles,2,otoño,Crema de calabaza,3,Albóndigas en salsa,8,Tarta de manzana,13,True,12.5
24,1,2025-10-02,Jueves,3,otoño,Judías con chorizo,4,Lomo a la plancha,9,Natillas,14,True,12.5
25,1,2025-10-03,Viernes,4,otoño,Puchero madrileño,5,Callos a la madrileña,10,Coulant de chocolate,15,True,12.5
26,1,2025-10-06,Lunes,0,otoño,Sopa castellana,1,Pollo asado con patatas,6,Arroz con leche,11,True,12.5
27,1,2025-10-07,Martes,1,otoño,Lentejas estofadas,2,Merluza en salsa verde,7,Flan casero,12,True,12.5
28,1,2025-10-08,Miércoles,2,otoño,Crema de calabaza,3,Albóndigas en salsa,8,Tarta de manzana,13,True,12.5
29,1,2025-10-09,Jueves,3,otoño,Judías con chorizo,4,Lomo a la plancha,9,Natillas,14,True,12.5
30,1,2025-10-10,Viernes,4,otoño,Puchero madrileño,5,Callos a la madrileña,10,Coulant de chocolate,15,True,12.5
31,1,2025-10-13,Lunes,0,otoño,Sopa castellana,1,Pollo asado con patatas,6,Arroz con leche,11,True,12.5
32,1,2025-10-14,Martes,1,otoño,Lentejas estofadas,2,Merluza en salsa verde,7,Flan casero,12,True,12.5
33,1,2025-10-15,Miércoles,2,otoño,Crema de calabaza,3,Albóndigas en salsa,8,Tarta de manzana,13,True,12.5
34,1,2025-10-16,Jueves,3,otoño,Judías con chorizo,4,Lomo a la plancha,9,Natillas,14,True,12.5
35,1,2025-10-17,Viernes,4,otoño,Puchero madrileño,5,Callos a la madrileña,10,Coulant de chocolate,15,True,12.5
36,1,2025-10-20,Lunes,0,otoño,Sopa castellana,1,Pollo asado con patatas,6,Arroz con leche,11,True,12.5
37,1,2025-10-21,Martes,1,otoño,Lentejas estofadas,2,Merluza en salsa verde,7,Flan casero,12,True,12.5
