valoracion_id,usuario_id,restaurante_id,menu_id,plato_id,plato_nombre,categoria,puntuacion,fecha,comentario
1,347,10,1241,269,Burritos de carne asada,segundo,3.1,2026-01-07,
2,347,10,1241,28,Crema catalana,postre,4.2,2026-01-07,Excelente
3,380,10,1241,269,Burritos de carne asada,segundo,2.2,2026-01-07,
4,303,6,696,141,Arroz con pollo,segundo,3.2,2025-11-17,
5,217,6,696,11,Arroz con leche,postre,2.9,2025-11-17,
6,17,8,900,198,Sopa de lentejas rojas,primero,4.4,2025-09-04,
7,17,8,900,14,Natillas,postre,4.9,2025-09-04,
8,16,8,900,198,Sopa de lentejas rojas,primero,4.0,2025-09-04,
9,16,8,900,14,Natillas,postre,4.2,2025-09-04,
10,48,8,900,198,Sopa de lentejas rojas,primero,4.5,2025-09-04,
11,112,8,900,198,Sopa de lentejas rojas,primero,3.8,2025-09-04,
12,112,8,900,14,Natillas,postre,5.0,2025-09-04,
13,120,8,900,198,Sopa de lentejas rojas,primero,3.9,2025-09-04,
14,120,8,900,203,Tofu salteado,segundo,5.0,2025-09-04,
15,120,8,900,14,Natillas,postre,4.3,2025-09-04,
16,259,7,771,149,Pimientos asados,primero,2.4,2025-09-03,
17,259,7,771,172,Costillas de cerdo,segundo,4.6,2025-09-03,
18,259,7,771,13,Tarta de manzana,postre,5.0,2025-09-03,
19,309,7,771,172,Costillas de cerdo,segundo,4.0,2025-09-03,
20,14,7,771,149,Pimientos asados,primero,3.4,2025-09-03,
21,14,7,771,172,Costillas de cerdo,segundo,3.4,2025-09-03,
22,14,7,771,13,Tarta de manzana,postre,3.3,2025-09-03,
23,288,6,744,148,Calamares a la romana,primero,3.3,2026-01-28,
24,288,6,744,28,Crema catalana,postre,2.1,2026-01-28,
25,367,3,347,20,Potaje de garbanzos,primero,4.5,2026-01-09,
26,367,3,347,30,Leche frita,postre,3.9,2026-01-09,
27,333,3,347,20,Potaje de garbanzos,primero,4.1,2026-01-09,El mejor de la zona
28,333,3,347,25,Chuletillas de cordero,segundo,3.9,2026-01-09,
29,333,3,347,30,Leche frita,postre,4.8,2026-01-09,
30,360,3,347,20,Potaje de garbanzos,primero,4.3,2026-01-09,
31,360,3,347,30,Leche frita,postre,2.8,2026-01-09,
32,280,3,347,30,Leche frita,postre,4.3,2026-01-09,
33,215,3,347,30,Leche frita,postre,3.9,2026-01-09,
34,302,2,240,61,Cordero al horno,segundo,4.1,2026-02-09,
35,302,2,240,26,Torrijas,postre,4.4,2026-02-09,Muy bueno
36,143,2,240,56,Crema de zanahoria y jengibre,primero,3.0,2026-02-09,
37,143,2,240,61,Cordero al horno,segundo,3.1,2026-02-09,
38,415,2,240,61,Cordero al horno,segundo,4.9,2026-02-09,Repetiría sin duda
39,358,4,465,87,Sopa toscana,primero,5.0,2025-12-23,
40,217,4,465,92,Pasta al ragú,segundo,4.6,2025-12-23,El mejor de la zona
41,217,4,465,27,Tarta de queso,postre,4.3,2025-12-23,
42,175,4,465,92,Pasta al ragú,segundo,3.5,2025-12-23,
43,175,4,465,27,Tarta de queso,postre,5.0,2025-12-23,Buenísimo
44,143,4,465,92,Pasta al ragú,segundo,3.9,2025-12-23,
45,143,4,465,27,Tarta de queso,postre,4.5,2025-12-23,
46,80,4,465,92,Pasta al ragú,segundo,4.2,2025-12-23,
47,80,4,465,27,Tarta de queso,postre,4.1,2025-12-23,
48,53,4,406,82,Lasaña boloñesa,segundo,4.5,2025-09-30,Como casero
49,53,4,406,12,Flan casero,postre,3.4,2025-09-30,
50,48,4,406,77,Bruschetta de tomate,primero,4.5,2025-09-30,
